Item_sold,Revenue,Date
2487.0,25040.02317682542,2020-06-12
2695.0,28726.488199217016,2020-06-09
2695.0,28726.488199217016,2020-06-10
2587.0,27999.639745728906,2020-06-12
2798.0,31098.182096054974,2020-06-12
2931.0,32116.111342785312,2020-06-13
2931.0,32116.111342785312,2020-06-14
3553.0,38385.92896542532,2020-06-15
3107.0,35541.637802722806,2020-06-16
